Country/Territory,UN region,IMF[1][13],World Bank[14],United Nations[15]
Forecast,Year,Estimate,Year,Estimate,Year
Solomon Islands,Oceania,"1,707",2024,"1,596",2022,"1,632",2021
Sint Maarten,Americas,—,"1,572",2022,"1,154",2021
British Virgin Islands,Americas,—,—,"1,539",2021
Comoros,Africa,"1,422",2024,"1,243",2022,"1,340",2021
Grenada,Americas,"1,406",2024,"1,256",2022,"1,115",2021
Vanuatu,Oceania,"1,289",2024,984,2022,981,2021
Turks and Caicos Islands,Americas,—,"1,139",2022,943,2021
Saint Kitts and Nevis,Americas,"1,134",2024,962,2022,861,2021
Saint Vincent and the Grenadines,Americas,"1,128",2024,949,2022,881,2021
Samoa,Oceania,"1,024",2024,832,2022,857,2021
São Tomé and Príncipe,Africa,751,2024,547,2022,555,2021
Dominica,Americas,708,2024,612,2022,548,2021
Tonga,Oceania,581,2024,—,472,2021
Micronesia,Oceania,484,2024,427,2022,404,2021
Cook Islands,Oceania,—,—,328,2021
Anguilla,Americas,—,—,303,2021
Palau,Oceania,308,2024,—,218,2021
Kiribati,Oceania,311,2024,223,2022,227,2021
Marshall Islands,Oceania,305,2024,280,2022,257,2021
Nauru,Oceania,161,2024,151,2022,155,2021
Montserrat,Americas,—,—,72,2021
Tuvalu,Oceania,66,2024,60,2022,60,2021
